Data,Nuovi casi
2021-02-08,7970
2021-02-09,10630
2021-02-10,12956
2021-02-11,15146
2021-02-12,13908
2021-02-13,13532
2021-02-14,11068
2021-02-15,7351
2021-02-16,10386
2021-02-17,12074
2021-02-18,13762
2021-02-19,15479
2021-02-20,14931
2021-02-21,13452
2021-02-22,9630
2021-02-23,13314
2021-02-24,16424
2021-02-25,19886
2021-02-26,20499
2021-02-27,18916
2021-02-28,17455
2021-03-01,13114
2021-03-02,17083
2021-03-03,20884
2021-03-04,22865
2021-03-05,24036
2021-03-06,23641
2021-03-07,20765
2021-03-08,13902
2021-03-09,19749
2021-03-10,22409
2021-03-11,25673
2021-03-12,26824
2021-03-13,26062
2021-03-14,21315
2021-03-15,15267
2021-03-16,20396
2021-03-17,23059
2021-03-18,24935
2021-03-19,25735
2021-03-20,23832
2021-03-21,20159
2021-03-22,13846
2021-03-23,18765
2021-03-24,21267
2021-03-25,23798
2021-03-26,23987
2021-03-27,23776
2021-03-28,19611
2021-03-29,12916
2021-03-30,16013
2021-03-31,22516
2021-04-01,23649
2021-04-02,21932
2021-04-03,21261
2021-04-04,18025
2021-04-05,10680
2021-04-06,7767
2021-04-07,13708
2021-04-08,17221
2021-04-09,18938
2021-04-10,17567
2021-04-11,15746
2021-04-12,9789
2021-04-13,13447
2021-04-14,16168
2021-04-15,16974
2021-04-16,15943
2021-04-17,15370
2021-04-18,12694
2021-04-19,8864
2021-04-20,12074
2021-04-21,13844
2021-04-22,16050
2021-04-23,14761
2021-04-24,13817
2021-04-25,13158
2021-04-26,8444
2021-04-27,10404
2021-04-28,13385
2021-04-29,14320
2021-04-30,13446
2021-05-01,12965
2021-05-02,9148
2021-05-03,5948
2021-05-04,9116
2021-05-05,10585
2021-05-06,11807
2021-05-07,10554
2021-05-08,10176
2021-05-09,8292
2021-05-10,5080
2021-05-11,6946
2021-05-12,7852
2021-05-13,8085
2021-05-14,7567
2021-05-15,6659
2021-05-16,5753
2021-05-17,3455
2021-05-18,4452
2021-05-19,5506
2021-05-20,5741
2021-05-21,5218
2021-05-22,4717
2021-05-23,3995
2021-05-24,2490
2021-05-25,3224
2021-05-26,3937
2021-05-27,4147
2021-05-28,3738
2021-05-29,3351
2021-05-30,2949
2021-05-31,1820
2021-06-01,2483
2021-06-02,2897
2021-06-03,1968
2021-06-04,2557
2021-06-05,2436
2021-06-06,2275
2021-06-07,1273
2021-06-08,1896
2021-06-09,2199
2021-06-10,2079
2021-06-11,1901
2021-06-12,1723
2021-06-13,1390
2021-06-14,907
2021-06-15,1255
2021-06-16,1400
2021-06-17,1325
2021-06-18,1147
2021-06-19,1197
2021-06-20,881
2021-06-21,495
2021-06-22,835
2021-06-23,951
2021-06-24,927
2021-06-25,753
2021-06-26,838
2021-06-27,782
2021-06-28,389
2021-06-29,679
2021-06-30,776
2021-07-01,882
2021-07-02,794
2021-07-03,932
2021-07-04,808
2021-07-05,480
2021-07-06,907
2021-07-07,1010
2021-07-08,1394
